date,distance
1989-06-29,10.362772055298326
1989-07-19,5.985983002335045
1989-07-25,5.003475982646062
1989-08-15,2.8947020462346185
1989-08-24,7.421462417201143
1989-09-11,0.05531236513419202
1989-10-10,-10.779263556862562
1989-11-01,-4.430789903722168
1989-11-28,2.163305751177404
1989-12-07,0.034613092143930047
1989-12-12,-0.12167184309688928
1989-12-21,-3.8719721621303673
1989-12-28,-2.9246848752675136
1990-01-10,-1.1956938720936447
1990-01-29,1.8317239383912387
1990-02-09,4.297634232461437
1990-02-15,1.6618248427724538
1990-03-09,3.1891259699128476
1990-03-19,1.126044727431207
1990-04-09,1.2211962690197637
1990-04-16,-3.439332806117383
1990-05-08,4.83755477202301
1990-05-24,7.021123673852388
1990-06-15,4.75764957999278
1990-07-11,8.028642063340518
1990-08-20,3.600347959413961
